subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level
3,grate,Task B ,1,2,1,-3.916857108,0.033,1,231.4898101,0,0,1
4,grate,Task B ,1,3,1,-2.597470231,0.135,1,127.6406179,0,0,4
4,grate,Task B ,2,4,1,-10.61343753,0.067,2,61.71636186,0,0,3
4,grate,Task B ,1,3,1,2.467620707,0.135,1,189.2450462,0,0,4
4,grate,Task B ,2,4,1,-11.22619754,0.135,2,275.6106771,0,0,4
4,grate,Task B ,1,1,1,-0.676836684,0.033,1,119.6326469,0,0,1
4,grate,Task B ,2,4,1,15.40767308,0.067,2,38.3222504,0,0,3
5,grate,Task B ,1,2,0,5.186627957,0.05,2,39.11731256,0,0,2
5,grate,Task B ,1,2,0,5.857886412,0.05,2,71.00130917,0,0,2
5,grate,Task B ,1,1,1,-3.511296451,0.033,1,106.6816846,0,0,1
5,grate,Task B ,1,4,1,1.05839079,0.067,1,28.02670076,0,0,3
5,grate,Task B ,1,3,1,-0.687232204,0.135,1,306.9429736,0,0,4
5,grate,Task B ,2,4,1,-19.47425197,0.033,2,28.19493895,0,0,1
6,grate,Task B ,2,3,1,-10.72567501,0.135,2,210.2698994,0,0,4
6,grate,Task B ,1,3,1,-4.207227923,0.067,1,178.3414538,0,0,3
6,grate,Task B ,1,3,1,-1.138158164,0.033,1,327.2712738,0,0,1
6,grate,Task B ,2,3,1,9.346422114,0.135,2,18.81683827,0,0,4
6,grate,Task B ,1,3,1,3.290049439,0.067,1,302.3453166,0,0,3
6,grate,Task B ,1,1,1,0.350387858,0.05,1,333.2438487,0,0,2
7,grate,Task B ,1,4,0,-6.252856955,0.033,2,73.78173815,0,0,1
7,grate,Task B ,1,1,1,-1.394527425,0.05,1,21.39335462,0,0,2
7,grate,Task B ,2,4,1,-0.378287475,0.135,2,67.27386299,0,0,4
7,grate,Task B ,1,4,0,-1.251088813,0.135,2,73.38990225,0,0,4
7,grate,Task B ,1,1,1,1.676401063,0.05,1,73.92363675,0,0,2
7,grate,Task B ,1,1,1,-3.273891663,0.05,1,229.2439986,0,0,2
8,grate,Task B ,2,4,1,16.15363926,0.135,2,58.35312352,0,0,4
8,grate,Task B ,2,2,1,1.419107796,0.067,2,209.7879283,0,0,3
8,grate,Task B ,1,4,1,2.209241384,0.135,1,333.4901522,0,0,4
8,grate,Task B ,1,1,1,3.63466983,0.033,1,132.6810175,0,0,1
8,grate,Task B ,2,4,1,-13.4117622,0.067,2,180.2446472,0,0,3
8,grate,Task B ,1,1,1,0.458161739,0.033,1,36.33426805,0,0,1
9,grate,Task B ,1,4,1,0.05412557,0.135,1,68.47938989,0,0,4
9,grate,Task B ,1,1,1,2.306068089,0.05,1,136.3880715,0,0,2
9,grate,Task B ,1,3,1,4.478756188,0.135,1,305.9099738,0,0,4
9,grate,Task B ,1,1,1,3.915951606,0.033,1,223.5538285,0,0,1
9,grate,Task B ,1,4,0,-0.976265817,0.067,2,143.4056159,0,0,3
9,grate,Task B ,1,2,0,9.049028221,0.05,2,319.0759002,0,0,2
10,grate,Task B ,1,2,1,6.002906036,0.067,1,217.6724037,0,0,3
10,grate,Task B ,1,1,1,4.459267383,0.033,1,273.604983,0,0,1
10,grate,Task B ,1,1,1,1.38315225,0.135,1,211.2347472,0,0,4
10,grate,Task B ,1,2,1,2.425694615,0.05,1,294.2293916,0,0,2
10,grate,Task B ,2,1,1,-13.0000496,0.135,2,342.3215551,0,0,4
10,grate,Task B ,1,2,1,0.198885919,0.067,1,343.6033522,0,0,3
1,grate,Task B ,1,3,0,-8.622053159,0.067,2,307.4622781,0,0,3
1,grate,Task B ,1,4,1,-1.47239321,0.135,1,75.36425493,0,0,4
