subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level
3,audio,Task B ,1,3,1,0,4.00E-05,1,174.298485,0,2704.992875,1
3,audio,Task B ,1,3,0,0,0.00041,2,18.9669769,0,2638.697546,4
3,audio,Task B ,2,4,0,0,4.00E-05,1,290.9499777,0,2495.489319,1
3,audio,Task B ,1,4,1,0,0.00019,1,0.596548848,0,2773.880684,3
4,audio,Task B ,1,1,1,0,0.00019,1,117.5419727,0,2574.630378,3
4,audio,Task B ,1,3,1,0,0.00041,1,232.5131804,0,2862.881096,4
4,audio,Task B ,1,1,0,0,4.00E-05,2,62.61798146,0,2976.106544,1
4,audio,Task B ,1,3,1,0,0.00041,1,259.9406197,0,2938.910029,4
4,audio,Task B ,1,1,1,0,4.00E-05,1,150.3401411,0,2629.67562,1
4,audio,Task B ,1,1,1,0,9.00E-05,1,210.6991596,0,2862.789792,2
5,audio,Task B ,1,3,0,0,0.00041,2,333.5466919,0,2482.535396,4
5,audio,Task B ,1,4,1,0,0.00019,1,63.69853342,0,2671.530785,3
5,audio,Task B ,1,3,1,0,9.00E-05,1,1.687493753,0,2666.787345,2
5,audio,Task B ,2,1,1,0,4.00E-05,2,14.26495824,0,3033.590289,1
5,audio,Task B ,1,4,1,0,0.00019,1,112.0304076,0,2741.622568,3
5,audio,Task B ,2,1,0,0,0.00041,1,27.77645334,0,2728.649749,4
6,audio,Task B ,1,3,1,0,4.00E-05,1,86.97780954,0,2670.322833,1
6,audio,Task B ,1,3,1,0,0.00019,1,8.576943622,0,2692.348207,3
6,audio,Task B ,2,3,1,0,9.00E-05,2,262.0703612,0,2757.411336,2
6,audio,Task B ,1,3,0,0,4.00E-05,2,170.0603574,0,2113.733322,1
6,audio,Task B ,2,3,1,0,0.00041,2,230.4578069,0,3188.095665,4
6,audio,Task B ,2,3,0,0,4.00E-05,1,332.026987,0,2862.856815,1
7,audio,Task B ,2,4,1,0,0.00019,2,172.5214069,0,2867.261018,3
7,audio,Task B ,1,1,0,0,9.00E-05,2,280.7007086,0,2522.655132,2
7,audio,Task B ,1,1,0,0,0.00019,2,205.8389884,0,2514.716376,3
7,audio,Task B ,1,1,0,0,0.00019,2,56.63601357,0,1703.572245,3
7,audio,Task B ,1,1,0,0,0.00019,2,127.5905661,0,3022.160315,3
7,audio,Task B ,1,1,0,0,4.00E-05,2,136.1229127,0,2745.387134,1
8,audio,Task B ,1,1,1,0,9.00E-05,1,132.0318619,0,2739.460569,2
8,audio,Task B ,2,1,1,0,0.00041,2,12.9486376,0,2618.056274,4
8,audio,Task B ,1,1,0,0,0.00019,2,190.5320328,0,2149.803454,3
8,audio,Task B ,1,1,1,0,0.00041,1,341.2718794,0,2407.305367,4
8,audio,Task B ,1,1,0,0,4.00E-05,2,131.2618418,0,2366.296233,1
8,audio,Task B ,1,1,0,0,9.00E-05,2,78.72117372,0,3194.489128,2
9,audio,Task B ,1,1,1,0,9.00E-05,1,79.30412576,0,2605.962118,2
9,audio,Task B ,1,1,0,0,0.00019,2,307.0043212,0,2638.478124,3
9,audio,Task B ,1,1,0,0,0.00019,2,25.09468002,0,2559.358341,3
9,audio,Task B ,1,4,1,0,4.00E-05,1,306.6970827,0,2834.674366,1
9,audio,Task B ,1,1,0,0,9.00E-05,2,26.81763603,0,2479.841971,2
9,audio,Task B ,1,4,1,0,0.00041,1,211.8061927,0,2810.421268,4
10,audio,Task B ,2,1,0,0,0.00041,1,63.32043381,0,2874.190047,4
10,audio,Task B ,1,1,0,0,4.00E-05,2,343.450842,0,1943.778934,1
10,audio,Task B ,2,1,1,0,0.00041,2,357.5703344,0,2471.959343,4
10,audio,Task B ,2,1,1,0,0.00041,2,174.0134187,0,3141.111535,4
10,audio,Task B ,2,2,0,0,9.00E-05,1,119.9379022,0,2734.729412,2
10,audio,Task B ,1,1,1,0,0.00019,1,90.24209494,0,2660.641819,3
1,audio,Task B ,2,3,1,0,4.00E-05,2,86.69294941,0,2414.385323,1
1,audio,Task B ,2,1,0,0,0.00019,1,351.9246018,0,3042.503081,3
1,audio,Task B ,1,2,1,0,0.00041,1,76.92053673,0,2810.050491,4
1,audio,Task B ,1,2,1,0,0.00041,1,47.28644866,0,2732.281487,4
1,audio,Task B ,1,3,1,0,9.00E-05,1,61.19211866,0,2758.280172,2
1,audio,Task B ,1,1,0,0,4.00E-05,2,280.9624571,0,2692.189926,1
2,audio,Task B ,2,1,1,0,4.00E-05,2,34.80064813,0,2365.674873,1
2,audio,Task B ,1,2,0,0,0.00019,2,243.1879672,0,2794.996881,3
2,audio,Task B ,2,1,1,0,4.00E-05,2,182.065766,0,2370.889421,1
2,audio,Task B ,1,1,0,0,4.00E-05,2,76.54941883,0,2264.555352,1
2,audio,Task B ,2,1,1,0,0.00019,2,284.8564546,0,2537.382573,3
2,audio,Task B ,1,1,0,0,9.00E-05,2,71.44014318,0,2827.163673,2
3,audio,Task B ,1,2,1,0,4.00E-05,1,333.1656169,0,2879.286077,1
3,audio,Task B ,1,4,1,0,0.00019,1,54.35264575,0,2762.577417,3
3,audio,Task B ,1,2,1,0,4.00E-05,1,215.2924258,0,2637.235516,1
3,audio,Task B ,1,2,1,0,9.00E-05,1,27.50916717,0,2545.728038,2
3,audio,Task B ,2,1,1,0,4.00E-05,2,62.472824,0,2424.591412,1
3,audio,Task B ,2,2,0,0,4.00E-05,1,165.3324967,0,2918.498022,1
4,audio,Task B ,1,3,1,0,0.00019,1,115.5583725,0,2698.254531,3
4,audio,Task B ,1,1,1,0,4.00E-05,1,245.0536817,0,2867.381983,1
4,audio,Task B ,1,1,1,0,4.00E-05,1,287.4802175,0,2866.323349,1
4,audio,Task B ,1,3,1,0,0.00041,1,228.7082412,0,2714.150475,4
4,audio,Task B ,1,3,0,0,0.00019,2,281.176229,0,3100.84488,3
4,audio,Task B ,1,1,1,0,4.00E-05,1,169.3793284,0,2751.71893,1
5,audio,Task B ,1,3,0,0,0.00041,2,290.7751754,0,2982.980799,4
5,audio,Task B ,2,4,0,0,0.00041,1,226.2519975,0,2598.353646,4
5,audio,Task B ,2,2,1,0,0.00019,2,331.0368218,0,2442.791163,3
5,audio,Task B ,1,3,1,0,0.00019,1,226.1676327,0,2724.839144,3
5,audio,Task B ,2,4,1,0,0.00041,2,7.546840467,0,2356.768117,4
5,audio,Task B ,2,1,0,0,9.00E-05,1,94.28085085,0,2662.636039,2
6,audio,Task B ,1,3,1,0,0.00041,1,294.495912,0,3009.290256,4
6,audio,Task B ,2,3,0,0,0.00041,1,193.4837747,0,2815.242051,4
6,audio,Task B ,2,3,1,0,9.00E-05,2,145.7467219,0,2725.936405,2
6,audio,Task B ,2,3,1,0,4.00E-05,2,0.558128844,0,3160.303624,1
6,audio,Task B ,2,3,0,0,0.00041,1,23.05939281,0,2737.13721,4
6,audio,Task B ,2,3,0,0,0.00019,1,42.13787101,0,2510.953672,3
7,audio,Task B ,1,4,1,0,0.00041,1,70.94687154,0,2565.218375,4
7,audio,Task B ,1,2,1,0,0.00041,1,289.1132477,0,2530.066881,4
7,audio,Task B ,1,1,0,0,4.00E-05,2,77.28075033,0,3277.94278,1
7,audio,Task B ,1,4,1,0,4.00E-05,1,204.5605808,0,2734.920257,1
7,audio,Task B ,1,4,0,0,9.00E-05,2,149.7411052,0,3140.792371,2
7,audio,Task B ,1,4,1,0,0.00019,1,25.97701973,0,2574.221074,3
8,audio,Task B ,1,1,0,0,0.00019,2,299.8102682,0,2353.122368,3
8,audio,Task B ,1,1,1,0,9.00E-05,1,5.232355501,0,2610.286056,2
8,audio,Task B ,2,1,0,0,0.00041,1,248.519687,0,2822.466062,4
8,audio,Task B ,2,2,1,0,0.00019,2,4.51243296,0,2931.347297,3
8,audio,Task B ,1,1,1,0,0.00019,1,272.7788356,0,2516.123343,3
8,audio,Task B ,1,1,0,0,9.00E-05,2,96.49775593,0,2936.106221,2
9,audio,Task B ,1,1,0,0,4.00E-05,2,272.2149783,0,2289.75608,1
9,audio,Task B ,1,1,0,0,9.00E-05,2,259.349471,0,2140.675898,2
9,audio,Task B ,1,1,0,0,9.00E-05,2,132.8081141,0,3249.776366,2
9,audio,Task B ,1,1,1,0,9.00E-05,1,145.8400196,0,2744.979272,2
9,audio,Task B ,2,4,1,0,0.00041,2,262.9809179,0,3668.612923,4
9,audio,Task B ,1,1,0,0,0.00019,2,107.8180785,0,2284.341756,3
10,audio,Task B ,1,1,1,0,9.00E-05,1,291.6198743,0,2929.575791,2
10,audio,Task B ,2,1,1,0,4.00E-05,2,252.2334408,0,2565.391894,1
10,audio,Task B ,1,1,0,0,4.00E-05,2,13.26374474,0,3190.101418,1
10,audio,Task B ,1,1,1,0,9.00E-05,1,90.65339522,0,2661.341673,2
10,audio,Task B ,1,1,1,0,4.00E-05,1,1.67069483,0,2600.863239,1
10,audio,Task B ,2,2,1,0,0.00041,2,236.9716986,0,2553.05024,4
1,audio,Task B ,2,2,1,0,9.00E-05,2,355.1625191,0,3105.95021,2
1,audio,Task B ,1,3,1,0,4.00E-05,1,84.23762799,0,2645.753011,1
1,audio,Task B ,2,3,1,0,4.00E-05,2,235.6581794,0,2486.331288,1
1,audio,Task B ,1,2,1,0,9.00E-05,1,33.2036615,0,2845.609063,2
1,audio,Task B ,2,4,1,0,9.00E-05,2,89.55262303,0,2051.294928,2
1,audio,Task B ,1,2,1,0,4.00E-05,1,100.7286695,0,2803.740829,1
2,audio,Task B ,2,1,1,0,0.00019,2,241.1353301,0,2688.575597,3
