subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level
2,bimodal,Task B ,2,2,1,-17.75371413,3,2,187.8547367,5,2810.644671,3
2,bimodal,Task B ,1,2,1,-2.454190722,4,1,56.14249222,6,2860.89942,4
3,bimodal,Task B ,2,4,1,-11.84117134,2,2,54.98952698,1,1936.993282,2
3,bimodal,Task B ,1,3,1,3.291712754,1,1,210.2695384,2,2814.417803,1
3,bimodal,Task B ,2,1,1,-8.999532426,2,2,187.7968741,3,2345.707926,2
3,bimodal,Task B ,2,4,1,15.533106,4,2,281.673727,4,3393.069875,4
3,bimodal,Task B ,1,3,0,-2.27708078,3,2,116.7390428,5,2944.152475,3
3,bimodal,Task B ,2,1,0,1.591137123,1,1,48.04870648,6,2687.064556,1
4,bimodal,Task B ,1,4,1,1.393535322,4,1,173.9404442,1,2727.04648,4
4,bimodal,Task B ,1,1,0,-2.708277236,1,2,125.1581222,2,3025.807488,1
4,bimodal,Task B ,1,2,1,-3.820822541,1,1,171.2697014,3,2719.342976,1
4,bimodal,Task B ,2,4,1,3.770242196,4,2,49.53834449,4,2112.249318,4
4,bimodal,Task B ,2,4,1,23.98651854,4,2,128.1805168,5,3050.890223,4
4,bimodal,Task B ,1,1,1,2.940894835,2,1,3.064795254,6,2894.766536,2
5,bimodal,Task B ,2,4,1,-18.93288266,1,2,323.0295956,1,2722.627959,1
5,bimodal,Task B ,1,4,1,-2.260724548,4,1,112.5183662,2,2711.630945,4
5,bimodal,Task B ,2,4,1,-10.68549369,4,2,151.4971718,3,2310.422324,4
5,bimodal,Task B ,1,4,1,-2.776465667,4,1,10.77231235,4,2739.170248,4
5,bimodal,Task B ,2,4,1,14.12197241,3,2,47.46435369,5,2553.423666,3
5,bimodal,Task B ,1,3,0,-5.031155992,3,2,352.4169892,6,2791.483346,3
6,bimodal,Task B ,2,1,0,-2.310466919,3,1,14.72202447,1,2478.436048,3
6,bimodal,Task B ,2,2,1,15.65320859,3,2,322.9404933,2,2781.773938,3
6,bimodal,Task B ,2,2,1,-28.48078751,3,2,57.59785902,3,1658.408652,3
6,bimodal,Task B ,1,2,0,3.05961737,2,2,130.8495824,4,1428.521886,2
6,bimodal,Task B ,1,1,0,4.468948792,3,2,351.2439314,5,3463.271321,3
6,bimodal,Task B ,2,2,1,-6.110001141,4,2,173.0403396,6,2060.528899,4
7,bimodal,Task B ,1,4,1,-2.292440642,1,1,94.73237214,1,2867.066738,1
7,bimodal,Task B ,1,1,1,6.149057591,1,1,283.2236095,2,2598.551813,1
7,bimodal,Task B ,2,1,1,0.194325353,3,2,0.178661658,3,1664.102325,3
7,bimodal,Task B ,1,4,1,-2.314203556,4,1,172.0722115,4,2511.670517,4
7,bimodal,Task B ,2,4,1,-10.72766064,3,2,122.0129523,5,3419.385694,3
7,bimodal,Task B ,1,4,0,-2.769359954,4,2,254.3815515,6,3725.493812,4
8,bimodal,Task B ,1,4,1,-1.717203477,4,1,337.6644124,1,2723.527574,4
8,bimodal,Task B ,1,4,1,-3.227861817,3,1,94.67374789,2,2513.738435,3
8,bimodal,Task B ,2,1,1,1.220643111,1,2,180.4623427,3,2182.331417,1
8,bimodal,Task B ,1,4,0,3.940361976,3,2,235.2554807,4,3281.116098,3
8,bimodal,Task B ,1,4,1,-1.91408417,3,1,242.5554892,5,2660.623571,3
8,bimodal,Task B ,1,4,1,2.419876312,3,1,182.9987626,6,2864.496007,3
9,bimodal,Task B ,2,3,1,-9.098310707,2,2,249.6404028,1,2132.968341,2
9,bimodal,Task B ,1,1,0,8.7671808,3,2,159.9931641,2,3214.527516,3
9,bimodal,Task B ,1,1,1,-1.356434253,4,1,115.7201502,3,2724.210717,4
9,bimodal,Task B ,2,2,1,15.9951698,3,2,300.3097855,4,2736.527187,3
9,bimodal,Task B ,2,2,1,9.535282166,4,2,117.4136781,5,2356.362075,4
9,bimodal,Task B ,1,1,1,2.347154639,3,1,146.0297732,6,2691.77919,3
10,bimodal,Task B ,1,1,1,3.370161404,1,1,147.2541764,1,2673.170997,1
10,bimodal,Task B ,1,2,1,4.450182541,1,1,356.4034864,2,2688.584252,1
10,bimodal,Task B ,1,2,1,0.261648608,2,1,92.17348065,3,2648.562211,2
10,bimodal,Task B ,1,1,1,0.022757904,1,1,33.15011013,4,2807.648073,1
10,bimodal,Task B ,2,2,1,23.94894626,3,2,328.9882145,5,3137.754788,3
10,bimodal,Task B ,1,1,1,-1.890531143,3,1,257.3181426,6,2505.829925,3
1,bimodal,Task B ,1,3,0,-6.387403387,3,2,305.6563246,1,2986.635554,3
1,bimodal,Task B ,1,2,1,-2.852983982,2,1,154.8768245,2,2465.213679,2
1,bimodal,Task B ,1,3,1,-4.117121374,2,1,209.4821871,3,2708.69271,2
1,bimodal,Task B ,2,1,1,6.186328402,2,2,207.0404256,4,3369.659742,2
1,bimodal,Task B ,2,1,0,-2.375380717,2,1,286.5431819,5,2768.122138,2
1,bimodal,Task B ,1,3,1,-1.90114401,4,1,14.82995033,6,2875.588767,4
2,bimodal,Task B ,1,2,1,-2.929056105,4,1,53.00501853,1,2562.290618,4
2,bimodal,Task B ,1,3,1,-2.312835243,4,1,56.44585214,2,2622.170905,4
2,bimodal,Task B ,2,1,0,0.009096532,1,1,357.2549484,3,2599.338834,1
2,bimodal,Task B ,1,2,1,3.719359421,1,1,206.6495135,4,2619.743794,1
2,bimodal,Task B ,1,2,1,1.172221688,3,1,167.8822868,5,2654.672509,3
2,bimodal,Task B ,1,3,1,1.793501959,3,1,109.4525446,6,2687.573706,3
3,bimodal,Task B ,1,3,1,-1.193751024,4,1,339.728474,1,2674.189816,4
3,bimodal,Task B ,2,1,0,6.550232582,1,1,352.5583532,2,2791.539347,1
3,bimodal,Task B ,1,3,1,-2.525352115,2,1,94.02548362,3,2704.267633,2
3,bimodal,Task B ,2,1,1,10.74284473,2,2,70.57078664,4,2350.81525,2
3,bimodal,Task B ,2,1,1,-3.388336176,3,2,335.2785733,5,3510.115681,3
3,bimodal,Task B ,2,3,1,14.0418227,4,2,352.0254036,6,3308.011421,4
4,bimodal,Task B ,1,3,1,-3.337955499,4,1,292.034278,1,2640.649155,4
4,bimodal,Task B ,1,1,1,-0.349539803,2,1,13.23312012,2,2728.796689,2
4,bimodal,Task B ,1,3,1,-0.092839299,4,1,295.5481626,3,2835.244829,4
4,bimodal,Task B ,1,1,1,0.04392989,1,1,149.902906,4,2724.501352,1
4,bimodal,Task B ,1,3,1,-2.264315141,4,1,110.4541453,5,2803.154588,4
4,bimodal,Task B ,2,1,1,13.42411393,2,2,324.2006449,6,2105.262687,2
5,bimodal,Task B ,1,2,0,-7.647857232,4,2,99.65705743,1,2544.087758,4
5,bimodal,Task B ,2,4,1,-16.22836547,1,2,274.2909293,2,2962.767129,1
5,bimodal,Task B ,2,4,1,-9.967441814,2,2,201.9936776,3,3380.169182,2
5,bimodal,Task B ,1,2,0,-8.704984448,2,2,67.4634454,4,3045.662982,2
5,bimodal,Task B ,2,4,1,6.077895506,3,2,275.4368179,5,3334.151808,3
5,bimodal,Task B ,1,2,1,-1.47040128,1,1,160.245314,6,2607.340449,1
