"","subject_name","stim_type","task_type","resp_category","resp_confidence","resp_correct","stim_orientation","stim_reliability","stim_category","stim_phase","block_number","stim_frequency","stim_reliability_level","cat1_evidence","cat2_evidence","evi_cat2","evi_allcat","visual_mostevidence","r"
"20196",6,"bimodal","Task B ",1,1,1,-0.183246350749835,2,1,349.2680158,6,0.201947926988576,2,0.000312756431465075,2.60245044062313e-05,0.076818089953318,0.923181910046682,0,4
"20197",7,"bimodal","Task B ",1,4,1,-0.0789401366941095,1,1,86.06589245,1,-0.0962768051666177,1,0.000399569357051522,2.64260095857651e-05,0.0620335610557602,0.93796643894424,0,1
"20198",7,"bimodal","Task B ",2,1,1,-0.969681294393203,3,2,47.51793648,2,2.27363346889931,3,2.91107174411929e-15,5.32029096130161e-06,0.999999999452836,0.999999999452836,1,5
"20199",7,"bimodal","Task B ",1,1,1,0.0407668978384596,1,1,5.126175794,3,-0.456208832909458,1,0.000175609198953425,2.51024598505547e-05,0.125067273122736,0.874932726877264,0,4
"20200",7,"bimodal","Task B ",1,1,1,-0.0217247103996923,1,1,196.4512444,4,-0.223232576045703,1,0.000344389275499684,2.61816901251154e-05,0.0706522975456858,0.929347702454314,0,4
"20201",7,"bimodal","Task B ",1,4,1,0.205352834784057,4,1,264.9585642,5,-0.126725759570366,4,0.000330079332802119,2.61123358602908e-05,0.0733097884022647,0.926690211597735,1,1
"20202",7,"bimodal","Task B ",1,1,1,-0.0451322483840384,1,1,331.8722115,6,0.419835216594813,1,0.000199437944882318,2.53028863110153e-05,0.112586957059211,0.887413042940789,0,4
"20203",8,"bimodal","Task B ",2,4,1,-1.60649219854425,3,2,199.5318223,1,2.25611089529799,3,4.61740903678791e-18,3.55596087594897e-06,0.999999999998701,0.999999999998701,1,8
"20204",8,"bimodal","Task B ",1,4,1,0.275101652469946,2,1,225.6487886,2,-0.227950604584882,2,0.000246275339635365,2.56386931816099e-05,0.0942897022121224,0.905710297787878,1,1
"20205",8,"bimodal","Task B ",2,4,1,-2.75039746629834,3,2,172.5383686,3,3.17473624005472,3,3.54782408341352e-36,2.62303875399249e-07,1,1,1,8
"20206",8,"bimodal","Task B ",1,4,1,-0.130166911340349,3,1,111.399228,4,0.280114184564515,3,0.000284872771263936,2.58730579383052e-05,0.0832611591432378,0.916738840856762,0,1
"20207",8,"bimodal","Task B ",1,4,1,0.418715663450345,4,1,342.5016865,5,-0.174229751767011,4,0.000177060253090454,2.51153737144295e-05,0.124225526644059,0.875774473355941,1,1
"20208",8,"bimodal","Task B ",2,4,1,-2.95208420072267,2,2,144.5479516,6,0.666454994885294,2,1.4310155033138e-20,2.47833407691526e-06,0.999999999999994,0.999999999999994,0,8
"20209",9,"bimodal","Task B ",1,2,1,0.015913247160748,3,1,40.84232707,1,0.276500020706608,3,0.000305801878776434,2.59879538338577e-05,0.0783265527740936,0.921673447225906,0,3
"20210",9,"bimodal","Task B ",1,1,0,1.1043701937615,1,2,62.06195087,2,1.32287509645079,1,1.55199108217382e-09,1.21300517477338e-05,0.999872070410839,0.999872070410839,1,4
"20211",9,"bimodal","Task B ",1,3,1,-0.117277136865505,3,1,349.1975248,3,0.399239321232797,3,0.000204735761182825,2.5344380726259e-05,0.110154577078946,0.889845422921054,0,2
"20212",9,"bimodal","Task B ",2,1,1,-1.10214988571009,1,2,205.4491664,4,-1.26120623347659,1,3.54766397384208e-09,1.27733108757142e-05,0.999722336757285,0.999722336757285,1,5
"20213",9,"bimodal","Task B ",1,1,0,1.76990168350059,2,2,263.2239635,5,-0.62511620008527,2,1.69391591543964e-10,1.0561797043682e-05,0.999983962116091,0.999983962116091,0,4
"20214",9,"bimodal","Task B ",1,4,1,0.0966765473013981,2,1,288.7783375,6,0.0265893613567449,2,0.000404997580760164,2.64483055825022e-05,0.0613015592910212,0.938698440708979,1,1
"20215",10,"bimodal","Task B ",1,1,1,-0.121459157070465,2,1,169.252774,1,0.374070644278408,2,0.00022145394381245,2.54690233131908e-05,0.103145623145827,0.896854376854173,0,4
"20216",10,"bimodal","Task B ",1,2,0,-0.453311477235576,4,2,291.1165985,2,0.749592949669143,4,1.70910851021221e-05,2.17010216162348e-05,0.559418486183057,0.559418486183057,1,3
"20217",10,"bimodal","Task B ",1,1,1,0.134745957798789,1,1,357.868856,3,-0.337602294525913,1,0.000242601855364282,2.56146224920918e-05,0.0954998093212159,0.904500190678784,0,4
"20218",10,"bimodal","Task B ",1,2,1,-0.0970853234009649,1,1,202.1683532,4,-0.537308523197428,1,0.000121918491292639,2.45364329357637e-05,0.16753573200105,0.83246426799895,0,3
"20219",10,"bimodal","Task B ",1,2,1,0.426121856598894,3,1,45.63142512,5,-0.33398538288674,3,0.000122635250076115,2.45454237898957e-05,0.166770698524191,0.833229301475809,1,3
"20220",10,"bimodal","Task B ",1,2,0,0.515137516457017,3,2,210.0685169,6,-1.28458670504347,3,1.31695316107166e-07,1.60105120881017e-05,0.991841554701321,0.991841554701321,1,3
"20221",1,"bimodal","Task B ",1,3,0,0.260248557491601,4,2,97.92817821,1,-0.304731220495241,4,0.000214515393243445,2.54184012513007e-05,0.105939229214571,0.894060770785429,0,2
"20222",1,"bimodal","Task B ",1,3,1,-0.227326715119438,4,1,86.24902112,2,0.249069239708088,4,0.000265636814320871,2.57602512003248e-05,0.0884025758950239,0.911597424104976,0,2
"20223",1,"bimodal","Task B ",1,3,1,0.0513733172256568,2,1,308.1980287,3,0.172617660967842,2,0.000368504732927539,2.62926747547515e-05,0.0665978910781255,0.933402108921874,0,2
"20224",1,"bimodal","Task B ",1,1,1,0.530408026194023,1,1,252.8006463,4,-0.379059923450939,1,7.04490424620806e-05,2.37096023765706e-05,0.251804838708108,0.748195161291892,1,4
"20225",1,"bimodal","Task B ",1,3,1,-0.0347197056267941,4,1,335.4070847,5,-0.32499425712362,4,0.000271776945657957,2.57970690191953e-05,0.0866912692198053,0.913308730780195,0,2
"20226",1,"bimodal","Task B ",2,1,1,-0.6244494861324,1,2,316.4751784,6,0.0620028076141209,1,8.51303485722153e-05,2.39917735154776e-05,0.219861683923241,0.780138316076759,1,5
"20227",2,"bimodal","Task B ",1,2,1,-0.22787492458137,1,1,185.7512053,1,0.208512761893692,1,0.00028712333729747,2.58857860947272e-05,0.0826997814446852,0.917300218555315,1,3
