"","subject_name","stim_type","task_type","resp_category","resp_confidence","resp_correct","stim_orientation","stim_reliability","stim_category","stim_phase","block_number","stim_frequency","stim_reliability_level","cat1_evidence","cat2_evidence","evi_cat2","evi_allcat","visual_mostevidence","r"
"20",4,"grate","Task B ",1,1,0,-0.913894593655299,0.033,2,167.1577223,0,0,1,0.00366476541978822,0.0265610295731458,0.878753712825587,0.878753712825587,0,4
"21",4,"grate","Task B ",1,1,1,-0.0558478461013164,0.033,1,296.9238807,0,0,1,0.131086901783949,0.0332153991148972,0.202160279759847,0.797839720240153,0,4
"22",4,"grate","Task B ",1,4,0,-1.85962049012097,0.05,2,34.91827124,0,0,2,4.7887186753098e-08,0.0131524217555907,0.999996359072626,0.999996359072626,0,1
"23",4,"grate","Task B ",1,1,0,1.0333466470493,0.033,2,226.6900524,0,0,1,0.00140068191601404,0.0250114136698521,0.94696816420869,0.94696816420869,0,4
"24",4,"grate","Task B ",2,4,1,0.352118256180893,0.135,2,213.2496595,0,0,4,0.0786919524529485,0.0321727114680198,0.290198069701944,0.709801930298056,0,8
"25",5,"grate","Task B ",2,3,0,-0.617750833690726,0.135,1,12.94958527,0,0,4,0.0256803109473351,0.0299979817417996,0.538773376354867,0.538773376354867,0,7
"26",5,"grate","Task B ",1,3,1,-0.243281102632886,0.05,1,177.1495846,0,0,2,0.102778027557663,0.0327141609855909,0.241446841602587,0.758553158397413,0,2
"27",5,"grate","Task B ",1,4,0,-0.0990461578609006,0.135,2,104.9993315,0,0,4,0.127289299775588,0.0331544259436326,0.206642084600139,0.793357915399861,0,1
"28",5,"grate","Task B ",2,4,1,1.30177335700088,0.067,2,123.4925827,0,0,3,9.6162889644265e-05,0.0211558260841049,0.995475111070166,0.995475111070166,0,8
"29",5,"grate","Task B ",1,4,1,-0.250239362794299,0.05,1,50.28542827,0,0,2,0.101265845020712,0.0326838686149497,0.24400103387939,0.755998966120609,0,1
"30",5,"grate","Task B ",1,2,0,0.413927376898275,0.135,2,178.5073032,0,0,4,0.064323212587781,0.0317698381258925,0.330615355532383,0.669384644467617,0,3
"31",6,"grate","Task B ",2,2,0,0.448899588046558,0.067,1,24.20603496,0,0,3,0.0565628362171993,0.0315155737296811,0.357812700623092,0.642187299376908,0,6
"32",6,"grate","Task B ",1,3,0,-0.679802973644939,0.033,2,230.2361456,0,0,1,0.0181733363242,0.029356662877948,0.617644926798596,0.617644926798596,0,2
"33",6,"grate","Task B ",1,3,0,0.63768578018545,0.067,2,316.6999079,0,0,3,0.0235818664954166,0.0298385802488136,0.558561039215503,0.558561039215503,0,2
"34",6,"grate","Task B ",1,3,0,0.46742708420808,0.05,2,278.5571054,0,0,2,0.0526147304614522,0.0313733741245733,0.373545447646563,0.626454552353437,0,2
"35",6,"grate","Task B ",1,3,1,0.0220171950726073,0.067,1,3.330936059,0,0,3,0.132753685837258,0.0332416391544979,0.200256478043276,0.799743521956724,0,2
"36",6,"grate","Task B ",2,1,0,-0.127754398668177,0.033,1,66.17556596,0,0,1,0.123728317949049,0.0330956822587888,0.211037100283932,0.788962899716067,0,5
"37",7,"grate","Task B ",1,1,1,0.160178899577126,0.135,1,181.0076054,0,0,4,0.11947915146552,0.0330234754435272,0.216543649856093,0.783456350143906,0,4
"38",7,"grate","Task B ",1,4,0,-0.585332037286424,0.033,2,0.365903558,0,0,1,0.0303640298002282,0.0303137372624206,0.499585576890497,0.500414423109503,0,1
"39",7,"grate","Task B ",1,1,1,0.0302272997728384,0.033,1,248.0406861,0,0,1,0.132529114221868,0.0332381218064879,0.200510804202601,0.799489195797399,0,4
"40",7,"grate","Task B ",1,1,1,0.260247405749145,0.033,1,283.7856693,0,0,1,0.099961012213601,0.0326573871211113,0.246250801434333,0.753749198565667,0,4
"41",7,"grate","Task B ",2,4,1,1.67362158212883,0.135,2,10.37438325,0,0,4,8.4880745971043e-07,0.0157413723996638,0.999946080832651,0.999946080832651,0,8
