"","subject_name","stim_type","task_type","resp_category","resp_confidence","resp_correct","stim_orientation","stim_reliability","stim_category","stim_phase","block_number","stim_frequency","stim_reliability_level","cat1_evidence","cat2_evidence","evi_cat2","evi_allcat","visual_mostevidence","r"
"21",4,"audio","Task B ",1,1,0,0,9e-05,2,282.6576629,0,0.276678135164592,2,0.00234957630045648,0.000782756901138045,0.249895796762484,0.750104203237516,0,4
"22",4,"audio","Task B ",1,2,1,0,0.00019,1,97.09033291,0,0.261312801252219,3,0.00243026336228273,0.000784410488223118,0.244009353577094,0.755990646422906,0,3
"23",4,"audio","Task B ",1,2,1,0,9e-05,1,228.0188526,0,0.44608039256234,2,0.0014209117941093,0.00075853478780659,0.348040091507902,0.651959908492098,0,3
"24",4,"audio","Task B ",1,2,0,0,9e-05,2,10.52177099,0,-0.982228544810291,2,5.41720160401185e-05,0.000618444875957889,0.919460815384519,0.919460815384519,0,3
"25",5,"audio","Task B ",2,1,0,0,4e-05,1,35.01907986,0,-0.38201124741551,1,0.00170309948269394,0.000767171674153185,0.310561725997865,0.689438274002135,0,5
"26",5,"audio","Task B ",2,1,1,0,9e-05,2,350.4641129,0,-0.0904152189809286,2,0.00307044428704422,0.000795957967804842,0.205865276125004,0.794134723874996,0,5
"27",5,"audio","Task B ",2,3,0,0,0.00041,1,123.3533207,0,-0.252975228902683,4,0.00241291421038904,0.000784059327536181,0.245250490263683,0.754749509736317,0,7
"28",5,"audio","Task B ",2,2,1,0,4e-05,2,288.6308394,0,-2.57296267073535,1,2.78953469026229e-15,0.000140697309800475,0.999999999980173,0.999999999980173,0,6
"29",5,"audio","Task B ",1,2,1,0,0.00019,1,292.436475,0,-0.115236204325323,3,0.00300206535681169,0.000794838357285286,0.209338560347013,0.790661439652987,0,3
"30",5,"audio","Task B ",1,3,1,0,0.00019,1,283.4539944,0,0.397579817554242,3,0.00168164722136839,0.000766564122413909,0.313111906927785,0.686888093072215,0,2
"31",6,"audio","Task B ",2,2,1,0,4e-05,2,192.5903026,0,-0.577835899152178,1,0.000769615449278464,0.000730015647774214,0.486796819037003,0.513203180962997,0,6
"32",6,"audio","Task B ",2,3,0,0,9e-05,1,311.1984994,0,0.238047019258414,2,0.0025481626281082,0.000786736418809572,0.235910115341182,0.764089884658817,0,7
"33",6,"audio","Task B ",2,3,1,0,0.00019,2,272.0224764,0,-0.393181917249503,3,0.00164173054085569,0.000765414042271649,0.317975931997085,0.682024068002915,0,7
"34",6,"audio","Task B ",1,3,1,0,0.00041,1,104.3439742,0,0.0454740904059544,4,0.00317067167758523,0.000797557517250547,0.200985749081349,0.799014250918651,0,2
"35",6,"audio","Task B ",2,3,0,0,0.00041,1,240.1085067,0,0.205707905006732,4,0.00270124413974358,0.000789610287685999,0.226193988921908,0.773806011078092,0,7
"36",6,"audio","Task B ",1,2,1,0,9e-05,1,40.30697248,0,0.485898290328161,2,0.00121933048417615,0.000751316017302968,0.381253571728388,0.618746428271612,0,3
"37",7,"audio","Task B ",1,1,1,0,9e-05,1,73.68531896,0,-0.255063707397876,2,0.00240200421795945,0.000783837286270037,0.246037753362627,0.753962246637373,0,4
"38",7,"audio","Task B ",1,1,0,0,4e-05,2,206.5085663,0,1.52746456495496,1,2.02161649661867e-07,0.000436059980955808,0.999536605105237,0.999536605105237,0,4
"39",7,"audio","Task B ",1,1,0,0,0.00019,2,4.75049631,0,0.19535257238007,3,0.00274710498231393,0.000790441551108359,0.223443435624201,0.776556564375799,0,4
"40",7,"audio","Task B ",1,1,1,0,4e-05,1,92.69243938,0,0.0645082770277825,1,0.00314599693396484,0.000797168173898066,0.202164543480177,0.797835456519823,0,4
"41",7,"audio","Task B ",1,4,1,0,0.00019,1,235.3564872,0,0.323415024963362,3,0.00209470891602519,0.000777159729179902,0.27061116826407,0.72938883173593,0,1
"42",7,"audio","Task B ",1,4,1,0,0.00041,1,201.7211531,0,-0.311496155308516,4,0.00209606825054872,0.000777191240086531,0.270491141722358,0.729508858277642,0,1
"43",8,"audio","Task B ",1,1,0,0,9e-05,2,332.3916131,0,-0.291045819685032,2,0.00220892757985974,0.00077974284898885,0.260899576434479,0.739100423565521,0,4
"44",8,"audio","Task B ",1,1,0,0,4e-05,2,17.7073273,0,-1.09024710809744,1,2.11623765446591e-05,0.000583160145349492,0.964981651720791,0.964981651720791,0,4
