subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level,cat1_evidence,cat2_evidence,evi_cat2,evi_allcat,visual_mostevidence,r
7,bimodal,Task B ,2,1,1,-3.033591672,1,2,96.81197757,6,-1.122726904,1,6.16E-23,1.76E-06,1,1,0,5
8,bimodal,Task B ,2,1,0,0.06217214,4,1,135.9091529,1,0.442889451,4,0.000181018,2.52E-05,0.121988359,0.878011641,0,5
8,bimodal,Task B ,1,4,1,-0.074910443,2,1,40.94500375,2,-0.098469221,2,0.000399811,2.64E-05,0.062000567,0.937999433,0,1
8,bimodal,Task B ,2,4,1,-0.953385255,4,2,328.7742561,3,1.227550032,4,1.74E-08,1.41E-05,0.998770204,0.998770204,1,8
8,bimodal,Task B ,2,4,0,0.723826762,4,1,86.61066844,4,-0.108959063,4,4.43E-05,2.30E-05,0.341894492,0.658105508,1,8
8,bimodal,Task B ,1,4,1,0.104988156,4,1,19.207578,5,0.497890965,4,0.000140865,2.48E-05,0.149489194,0.850510806,0,1
8,bimodal,Task B ,1,4,1,0.224152264,2,1,283.3682847,6,0.128176247,2,0.000317508,2.60E-05,0.075821634,0.924178366,1,1
9,bimodal,Task B ,1,1,0,2.709714278,3,2,90.20652102,1,2.097860365,3,1.79E-25,1.22E-06,1,1,0,4
9,bimodal,Task B ,1,1,1,-0.134369134,2,1,349.359525,2,-0.332338132,2,0.000249499,2.57E-05,0.093253581,0.906746419,0,4
9,bimodal,Task B ,2,3,1,0.960014804,4,2,125.9005702,3,0.497409487,4,3.09E-06,1.95E-05,0.863224251,0.863224251,0,7
9,bimodal,Task B ,1,2,1,0.457849136,3,1,17.3305811,4,-0.0743139,3,0.000170019,2.51E-05,0.12842416,0.87157584,1,3
9,bimodal,Task B ,1,1,1,0.176830052,1,1,330.3716822,5,-0.077252396,1,0.000360682,2.63E-05,0.06785923,0.93214077,1,4
9,bimodal,Task B ,1,1,1,0.492476801,2,1,250.5788912,6,0.394900726,2,7.81E-05,2.39E-05,0.23413564,0.76586436,1,4
10,bimodal,Task B ,1,1,1,-0.417572636,3,1,185.548412,1,-0.612785339,3,4.33E-05,2.30E-05,0.346909427,0.653090573,0,4
10,bimodal,Task B ,2,1,1,-1.800117621,1,2,118.9746015,2,-0.616140826,1,1.34E-10,1.04E-05,0.99998709,0.99998709,0,5
10,bimodal,Task B ,1,1,1,-0.392561725,1,1,264.857772,3,0.290574393,1,0.00015912,2.49E-05,0.135537698,0.864462302,1,4
10,bimodal,Task B ,1,1,0,0.140792565,2,2,59.41815219,4,1.601115604,2,7.61E-09,1.34E-05,0.999432116,0.999432116,1,4
10,bimodal,Task B ,2,1,1,0.682350641,3,2,347.844324,5,2.661050121,3,6.02E-18,3.62E-06,1,1,1,5
10,bimodal,Task B ,1,1,0,0.061149111,1,2,150.0518736,6,0.286081005,1,0.000293963,2.59E-05,0.081040872,0.918959128,0,4
1,bimodal,Task B ,1,2,0,-1.059494507,1,2,180.5906723,1,-2.238089739,1,2.84E-15,5.31E-06,0.999999999,0.999999999,1,3
1,bimodal,Task B ,1,3,0,0.365387047,3,2,222.5439691,2,-0.040210828,3,0.000238047,2.56E-05,0.097045632,0.902954368,1,2
1,bimodal,Task B ,1,4,1,-0.200298932,4,1,217.5643947,3,0.193793,4,0.00030883,2.60E-05,0.077662228,0.922337772,0,1
1,bimodal,Task B ,1,4,1,-0.146753743,3,1,166.6234866,4,-0.191547241,3,0.000335416,2.61E-05,0.072294927,0.927705073,0,1
1,bimodal,Task B ,1,4,1,0.124819087,3,1,90.81616428,5,-0.03090346,3,0.000393963,2.64E-05,0.062808851,0.937191149,1,1
1,bimodal,Task B ,1,4,1,0.389203414,4,1,312.1689542,6,-0.385412455,4,0.000119147,2.45E-05,0.170564257,0.829435743,1,1
2,bimodal,Task B ,2,2,0,-0.156596453,3,1,249.1839114,1,-0.043463133,3,0.000383251,2.64E-05,0.064347345,0.935652655,1,6
2,bimodal,Task B ,2,3,1,-0.890263286,4,2,341.2457489,2,1.812524523,4,1.53E-11,9.09E-06,0.999998314,0.999998314,1,7
2,bimodal,Task B ,1,2,1,0.233693361,2,1,47.16768653,3,0.205508493,2,0.000279253,2.58E-05,0.08469815,0.91530185,1,3
2,bimodal,Task B ,2,2,1,-0.772081151,3,2,326.0867629,4,-0.624746712,3,7.18E-06,2.06E-05,0.741111577,0.741111577,0,6
2,bimodal,Task B ,2,2,1,-2.059293356,3,2,187.8547367,5,0.303312532,3,7.13E-12,8.66E-06,0.999999178,0.999999178,0,6
2,bimodal,Task B ,1,2,1,-0.289596927,4,1,56.14249222,6,0.441678321,4,0.000132642,2.47E-05,0.156800486,0.843199514,0,3
3,bimodal,Task B ,2,4,1,-1.375389317,2,2,54.98952698,1,-2.102101216,2,1.43E-15,5.09E-06,1,1,1,8
3,bimodal,Task B ,1,3,1,0.375031936,1,1,210.2695384,2,0.31370105,1,0.000152905,2.49E-05,0.139974307,0.860025693,1,2
3,bimodal,Task B ,2,1,1,-1.04669684,2,2,187.7968741,3,-0.976792156,2,8.50E-08,1.56E-05,0.994575602,0.994575602,0,5
3,bimodal,Task B ,2,4,1,1.790994338,4,2,281.673727,4,1.906896765,4,1.35E-16,4.39E-06,1,1,1,8
3,bimodal,Task B ,1,3,0,-0.269110614,3,2,116.7390428,5,0.670897945,3,4.72E-05,2.31E-05,0.328667341,0.671332659,0,2
3,bimodal,Task B ,2,1,0,0.178326291,1,1,48.04870648,6,-0.036939096,1,0.000366758,2.63E-05,0.06687533,0.93312467,1,5
4,bimodal,Task B ,1,4,1,0.155469684,4,1,173.9404442,1,0.073142649,4,0.000372193,2.63E-05,0.066019795,0.933980205,1,1
4,bimodal,Task B ,1,1,0,-0.318987124,1,2,125.1581222,2,0.8957177,1,9.45E-06,2.09E-05,0.688677962,0.688677962,1,4
4,bimodal,Task B ,1,2,1,-0.44767528,1,1,171.2697014,3,0.051932685,1,0.000186363,2.52E-05,0.119096287,0.880903713,1,3
4,bimodal,Task B ,2,4,1,0.430383454,4,2,49.53834449,4,-1.619570903,4,3.05E-09,1.27E-05,0.999759196,0.999759196,1,8
4,bimodal,Task B ,2,4,1,2.768800873,4,2,128.1805168,5,0.964777689,4,1.08E-19,2.81E-06,1,1,0,8
4,bimodal,Task B ,1,1,1,0.334452815,2,1,3.064795254,6,0.53492424,2,7.80E-05,2.39E-05,0.234314545,0.765685455,0,4
5,bimodal,Task B ,2,4,1,-2.195687823,1,2,323.0295956,1,0.060977189,1,9.38E-13,7.63E-06,0.999999877,0.999999877,0,8
5,bimodal,Task B ,1,4,1,-0.267218688,4,1,112.5183662,2,0.030699244,4,0.000318124,2.61E-05,0.075694375,0.924305625,1,1
5,bimodal,Task B ,2,4,1,-1.241712041,4,2,151.4971718,3,-1.073943575,4,5.80E-09,1.32E-05,0.999559605,0.999559605,0,8
5,bimodal,Task B ,1,4,1,-0.326874482,4,1,10.77231235,4,0.106522872,4,0.000263313,2.57E-05,0.08906854,0.91093146,1,1
