subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level,r
3,grate,Task B ,1,1,1,-0.78917117,0.033,1,282.7698776,0,0,1,4
3,grate,Task B ,1,3,1,0.29742942,0.05,1,190.4148786,0,0,2,2
3,grate,Task B ,1,4,0,0.149907889,0.067,2,270.1942779,0,0,3,1
3,grate,Task B ,2,2,1,1.00553298,0.05,2,237.3402106,0,0,2,6
3,grate,Task B ,1,2,1,-0.444163746,0.033,1,231.4898101,0,0,1,3
4,grate,Task B ,1,3,1,-0.293861821,0.135,1,127.6406179,0,0,4,2
4,grate,Task B ,2,4,1,-1.207024851,0.067,2,61.71636186,0,0,3,8
4,grate,Task B ,1,3,1,0.283143251,0.135,1,189.2450462,0,0,4,2
4,grate,Task B ,2,4,1,-1.276829251,0.135,2,275.6106771,0,0,4,8
4,grate,Task B ,1,1,1,-0.075067072,0.033,1,119.6326469,0,0,1,4
4,grate,Task B ,2,4,1,1.757248246,0.067,2,38.3222504,0,0,3,8
5,grate,Task B ,1,2,0,0.592887142,0.05,2,39.11731256,0,0,2,3
5,grate,Task B ,1,2,0,0.669355568,0.05,2,71.00130917,0,0,2,3
5,grate,Task B ,1,1,1,-0.397963084,0.033,1,106.6816846,0,0,1,4
5,grate,Task B ,1,4,1,0.122606586,0.067,1,28.02670076,0,0,3,1
5,grate,Task B ,1,3,1,-0.076251309,0.135,1,306.9429736,0,0,4,2
5,grate,Task B ,2,4,1,-2.216431185,0.033,2,28.19493895,0,0,1,8
6,grate,Task B ,2,3,1,-1.219810721,0.135,2,210.2698994,0,0,4,7
6,grate,Task B ,1,3,1,-0.477242211,0.067,1,178.3414538,0,0,3,2
6,grate,Task B ,1,3,1,-0.127619896,0.033,1,327.2712738,0,0,1,2
6,grate,Task B ,2,3,1,1.066762608,0.135,2,18.81683827,0,0,4,7
6,grate,Task B ,1,3,1,0.376832695,0.067,1,302.3453166,0,0,3,2
6,grate,Task B ,1,1,1,0.041952302,0.05,1,333.2438487,0,0,2,4
7,grate,Task B ,1,4,0,-0.710276196,0.033,2,73.78173815,0,0,1,1
7,grate,Task B ,1,1,1,-0.156824972,0.05,1,21.39335462,0,0,2,4
7,grate,Task B ,2,4,1,-0.041056941,0.135,2,67.27386299,0,0,4,8
7,grate,Task B ,1,4,0,-0.140484731,0.135,2,73.38990225,0,0,4,1
7,grate,Task B ,1,1,1,0.193009085,0.05,1,73.92363675,0,0,2,4
7,grate,Task B ,1,1,1,-0.370918403,0.05,1,229.2439986,0,0,2,4
8,grate,Task B ,2,4,1,1.842227228,0.135,2,58.35312352,0,0,4,8
8,grate,Task B ,2,2,1,0.163698749,0.067,2,209.7879283,0,0,3,6
8,grate,Task B ,1,4,1,0.253709193,0.135,1,333.4901522,0,0,4,1
8,grate,Task B ,1,1,1,0.416091163,0.033,1,132.6810175,0,0,1,4
8,grate,Task B ,2,4,1,-1.525804425,0.067,2,180.2446472,0,0,3,8
8,grate,Task B ,1,1,1,0.054229688,0.033,1,36.33426805,0,0,1,4
9,grate,Task B ,1,4,1,0.008202692,0.135,1,68.47938989,0,0,4,1
9,grate,Task B ,1,1,1,0.264739499,0.05,1,136.3880715,0,0,2,4
