subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level,r
2,audio,Task B ,1,1,0,0,4.00E-05,2,132.6556528,0,1.134327237,1,4
2,audio,Task B ,1,2,1,0,4.00E-05,1,293.2827751,0,-0.115576709,1,3
3,audio,Task B ,1,3,1,0,0.00041,1,354.5090037,0,-0.097829984,4,2
3,audio,Task B ,1,3,1,0,4.00E-05,1,340.6289837,0,-0.301889864,1,2
3,audio,Task B ,1,3,1,0,4.00E-05,1,174.298485,0,0.019659661,1,2
3,audio,Task B ,1,3,0,0,0.00041,2,18.9669769,0,-0.163876489,4,2
3,audio,Task B ,2,4,0,0,4.00E-05,1,290.9499777,0,-0.560343138,1,8
3,audio,Task B ,1,4,1,0,0.00019,1,0.596548848,0,0.210372996,3,1
4,audio,Task B ,1,1,1,0,0.00019,1,117.5419727,0,-0.341244059,3,4
4,audio,Task B ,1,3,1,0,0.00041,1,232.5131804,0,0.456767325,4,2
4,audio,Task B ,1,1,0,0,4.00E-05,2,62.61798146,0,0.770227767,1,4
4,audio,Task B ,1,3,1,0,0.00041,1,259.9406197,0,0.667250599,4,2
4,audio,Task B ,1,1,1,0,4.00E-05,1,150.3401411,0,-0.188853356,1,4
4,audio,Task B ,1,1,1,0,9.00E-05,1,210.6991596,0,0.456514555,2,4
5,audio,Task B ,1,3,0,0,0.00041,2,333.5466919,0,-0.596205591,4,2
5,audio,Task B ,1,4,1,0,0.00019,1,63.69853342,0,-0.072978891,3,1
5,audio,Task B ,1,3,1,0,9.00E-05,1,1.687493753,0,-0.086110927,2,2
5,audio,Task B ,2,1,1,0,4.00E-05,2,14.26495824,0,0.929369374,1,5
5,audio,Task B ,1,4,1,0,0.00019,1,112.0304076,0,0.121067603,3,1
5,audio,Task B ,2,1,0,0,0.00041,1,27.77645334,0,0.085152838,4,5
6,audio,Task B ,1,3,1,0,4.00E-05,1,86.97780954,0,-0.07632306,1,2
6,audio,Task B ,1,3,1,0,0.00019,1,8.576943622,0,-0.015346632,3,2
6,audio,Task B ,2,3,1,0,9.00E-05,2,262.0703612,0,0.16477822,2,7
6,audio,Task B ,1,3,0,0,4.00E-05,2,170.0603574,0,-1.617220411,1,2
6,audio,Task B ,2,3,1,0,0.00041,2,230.4578069,0,1.357111758,4,7
6,audio,Task B ,2,3,0,0,4.00E-05,1,332.026987,0,0.456700104,1,7
7,audio,Task B ,2,4,1,0,0.00019,2,172.5214069,0,0.468892979,3,8
7,audio,Task B ,1,1,0,0,9.00E-05,2,280.7007086,0,-0.485135594,2,4
7,audio,Task B ,1,1,0,0,0.00019,2,205.8389884,0,-0.507113745,3,4
7,audio,Task B ,1,1,0,0,0.00019,2,56.63601357,0,-2.752736087,3,4
7,audio,Task B ,1,1,0,0,0.00019,2,127.5905661,0,0.897725916,3,4
7,audio,Task B ,1,1,0,0,4.00E-05,2,136.1229127,0,0.131489666,1,4
8,audio,Task B ,1,1,1,0,9.00E-05,1,132.0318619,0,0.115082191,2,4
8,audio,Task B ,2,1,1,0,0.00041,2,12.9486376,0,-0.221021083,4,5
8,audio,Task B ,1,1,0,0,0.00019,2,190.5320328,0,-1.51736159,3,4
8,audio,Task B ,1,1,1,0,0.00041,1,341.2718794,0,-0.804477127,4,4
8,audio,Task B ,1,1,0,0,4.00E-05,2,131.2618418,0,-0.918009388,1,4
8,audio,Task B ,1,1,0,0,9.00E-05,2,78.72117372,0,1.374811824,2,4
9,audio,Task B ,1,1,1,0,9.00E-05,1,79.30412576,0,-0.254503303,2,4
9,audio,Task B ,1,1,0,0,0.00019,2,307.0043212,0,-0.164483952,3,4
9,audio,Task B ,1,1,0,0,0.00019,2,25.09468002,0,-0.383524126,3,4
9,audio,Task B ,1,4,1,0,4.00E-05,1,306.6970827,0,0.378678044,1,1
9,audio,Task B ,1,1,0,0,9.00E-05,2,26.81763603,0,-0.603662239,2,4
9,audio,Task B ,1,4,1,0,0.00041,1,211.8061927,0,0.311534245,4,1
10,audio,Task B ,2,1,0,0,0.00041,1,63.32043381,0,0.488075737,4,5
10,audio,Task B ,1,1,0,0,4.00E-05,2,343.450842,0,-2.087732807,1,4
10,audio,Task B ,2,1,1,0,0.00041,2,357.5703344,0,-0.625485001,4,5
10,audio,Task B ,2,1,1,0,0.00041,2,174.0134187,0,1.227037943,4,5
10,audio,Task B ,2,2,0,0,9.00E-05,1,119.9379022,0,0.101984158,2,6
10,audio,Task B ,1,1,1,0,0.00019,1,90.24209494,0,-0.103124586,3,4
1,audio,Task B ,2,3,1,0,4.00E-05,2,86.69294941,0,-0.784876531,1,7
1,audio,Task B ,2,1,0,0,0.00019,1,351.9246018,0,0.954044108,3,5
1,audio,Task B ,1,2,1,0,0.00041,1,76.92053673,0,0.310507761,4,3
1,audio,Task B ,1,2,1,0,0.00041,1,47.28644866,0,0.095207169,4,3
1,audio,Task B ,1,3,1,0,9.00E-05,1,61.19211866,0,0.16718356,2,2
1,audio,Task B ,1,1,0,0,4.00E-05,2,280.9624571,0,-0.015784826,1,4
2,audio,Task B ,2,1,1,0,4.00E-05,2,34.80064813,0,-0.919729601,1,5
2,audio,Task B ,1,2,0,0,0.00019,2,243.1879672,0,0.268832403,3,3
2,audio,Task B ,2,1,1,0,4.00E-05,2,182.065766,0,-0.905293319,1,5
2,audio,Task B ,1,1,0,0,4.00E-05,2,76.54941883,0,-1.19967523,1,4
2,audio,Task B ,2,1,1,0,0.00019,2,284.8564546,0,-0.444363223,3,5
2,audio,Task B ,1,1,0,0,9.00E-05,2,71.44014318,0,0.35788497,2,4
3,audio,Task B ,1,2,1,0,4.00E-05,1,333.1656169,0,0.502183906,1,3
3,audio,Task B ,1,4,1,0,0.00019,1,54.35264575,0,0.179080323,3,1
3,audio,Task B ,1,2,1,0,4.00E-05,1,215.2924258,0,-0.167924066,1,3
3,audio,Task B ,1,2,1,0,9.00E-05,1,27.50916717,0,-0.421259114,2,3
3,audio,Task B ,2,1,1,0,4.00E-05,2,62.472824,0,-0.756621353,1,5
3,audio,Task B ,2,2,0,0,4.00E-05,1,165.3324967,0,0.610740717,1,6
4,audio,Task B ,1,3,1,0,0.00019,1,115.5583725,0,0.001004807,3,2
4,audio,Task B ,1,1,1,0,4.00E-05,1,245.0536817,0,0.469227864,1,4
4,audio,Task B ,1,1,1,0,4.00E-05,1,287.4802175,0,0.466297077,1,4
4,audio,Task B ,1,3,1,0,0.00041,1,228.7082412,0,0.045012136,4,2
4,audio,Task B ,1,3,0,0,0.00019,2,281.176229,0,1.115561208,3,2
4,audio,Task B ,1,1,1,0,4.00E-05,1,169.3793284,0,0.149019006,1,4
5,audio,Task B ,1,3,0,0,0.00041,2,290.7751754,0,0.789258885,4,2
5,audio,Task B ,2,4,0,0,0.00041,1,226.2519975,0,-0.275567076,4,8
5,audio,Task B ,2,2,1,0,0.00019,2,331.0368218,0,-0.706236022,3,6
5,audio,Task B ,1,3,1,0,0.00019,1,226.1676327,0,0.074603317,3,2
5,audio,Task B ,2,4,1,0,0.00041,2,7.546840467,0,-0.944387623,4,8
5,audio,Task B ,2,1,0,0,9.00E-05,1,94.28085085,0,-0.097603661,2,5
6,audio,Task B ,1,3,1,0,0.00041,1,294.495912,0,0.862095639,4,2
6,audio,Task B ,2,3,0,0,0.00041,1,193.4837747,0,0.324880404,4,7
6,audio,Task B ,2,3,1,0,9.00E-05,2,145.7467219,0,0.077641045,2,7
6,audio,Task B ,2,3,1,0,4.00E-05,2,0.558128844,0,1.280170528,1,7
6,audio,Task B ,2,3,0,0,0.00041,1,23.05939281,0,0.108650057,4,7
6,audio,Task B ,2,3,0,0,0.00019,1,42.13787101,0,-0.517530652,3,7
7,audio,Task B ,1,4,1,0,0.00041,1,70.94687154,0,-0.367300842,4,1
7,audio,Task B ,1,2,1,0,0.00041,1,289.1132477,0,-0.464616444,4,3
7,audio,Task B ,1,1,0,0,4.00E-05,2,77.28075033,0,1.605850153,1,4
7,audio,Task B ,1,4,1,0,4.00E-05,1,204.5605808,0,0.102512505,1,1
7,audio,Task B ,1,4,0,0,9.00E-05,2,149.7411052,0,1.22615435,2,1
7,audio,Task B ,1,4,1,0,0.00019,1,25.97701973,0,-0.342377203,3,1
8,audio,Task B ,1,1,0,0,0.00019,2,299.8102682,0,-0.954480743,3,4
8,audio,Task B ,1,1,1,0,9.00E-05,1,5.232355501,0,-0.242532643,2,4
8,audio,Task B ,2,1,0,0,0.00041,1,248.519687,0,0.34487981,4,5
8,audio,Task B ,2,2,1,0,0.00019,2,4.51243296,0,0.646313455,3,6
8,audio,Task B ,1,1,1,0,0.00019,1,272.7788356,0,-0.50321861,3,4
8,audio,Task B ,1,1,0,0,9.00E-05,2,96.49775593,0,0.659488361,2,4
9,audio,Task B ,1,1,0,0,4.00E-05,2,272.2149783,0,-1.129907953,1,4
9,audio,Task B ,1,1,0,0,9.00E-05,2,259.349471,0,-1.542630889,2,4
9,audio,Task B ,1,1,0,0,9.00E-05,2,132.8081141,0,1.527872485,2,4
9,audio,Task B ,1,1,1,0,9.00E-05,1,145.8400196,0,0.130360514,2,4
9,audio,Task B ,2,4,1,0,0.00041,2,262.9809179,0,2.687405907,4,8
9,audio,Task B ,1,1,0,0,0.00019,2,107.8180785,0,-1.144897309,3,4
10,audio,Task B ,1,1,1,0,9.00E-05,1,291.6198743,0,0.641409108,2,4
10,audio,Task B ,2,1,1,0,4.00E-05,2,252.2334408,0,-0.366820458,1,5
10,audio,Task B ,1,1,0,0,4.00E-05,2,13.26374474,0,1.362664611,1,4
10,audio,Task B ,1,1,1,0,9.00E-05,1,90.65339522,0,-0.101187067,2,4
10,audio,Task B ,1,1,1,0,4.00E-05,1,1.67069483,0,-0.26861936,1,4
10,audio,Task B ,2,2,1,0,0.00041,2,236.9716986,0,-0.400987869,4,6
1,audio,Task B ,2,2,1,0,9.00E-05,2,355.1625191,0,1.129695122,2,6
1,audio,Task B ,1,3,1,0,4.00E-05,1,84.23762799,0,-0.144343698,1,2
1,audio,Task B ,2,3,1,0,4.00E-05,2,235.6581794,0,-0.585696805,1,7
1,audio,Task B ,1,2,1,0,9.00E-05,1,33.2036615,0,0.408950346,2,3
1,audio,Task B ,2,4,1,0,9.00E-05,2,89.55262303,0,-1.790078778,2,8
1,audio,Task B ,1,2,1,0,4.00E-05,1,100.7286695,0,0.293039698,1,3
